bike_id,lat,lon,is_disabled,is_reserved,vehicle_type_id,last_reported,current_range_meters,current_fuel_percent,pricing_plan_id
8298d838-27de-4e07-a1c1-637c96175cde,32.06598281666666,34.77490996666667,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800954,10036,0.29545453,5c469505-2249-4383-9f13-8e4fd1430b0d
442b02ce-9de3-459c-87d0-ffafbf6be428,32.07918466666667,34.768181166666665,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800946,8492,0.25,5c469505-2249-4383-9f13-8e4fd1430b0d
cc159b48-0683-4010-a998-93c1d5e75d5f,32.068558833333334,34.80262833333334,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800935,17370,0.5113636,5c469505-2249-4383-9f13-8e4fd1430b0d
e21e0903-f5ed-4ac9-ba88-9fff19214083,32.08057566666666,34.797110833333335,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800928,18142,0.53409094,5c469505-2249-4383-9f13-8e4fd1430b0d
a00a7cbb-b262-4333-99a3-fc48919f2352,32.05337933333333,34.77200766666667,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800919,16212,0.47727272,5c469505-2249-4383-9f13-8e4fd1430b0d
b6bb929a-0722-4106-9312-5a0d2371968e,32.08462906666667,34.785919183333334,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800930,11580,0.3409091,5c469505-2249-4383-9f13-8e4fd1430b0d
e7387ec1-3e06-42ba-a0cd-df36b328fa1a,32.069622833333334,34.774266499999996,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800880,20458,0.60227275,5c469505-2249-4383-9f13-8e4fd1430b0d
171e3c51-8d0f-4793-ad25-155ace980ee2,32.06583786666667,34.800617216666666,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800864,32038,0.9431818,5c469505-2249-4383-9f13-8e4fd1430b0d
282ee983-d21d-4691-b9c0-51e5aa03e1db,32.11270905,34.79153061666667,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800887,11194,0.32954547,5c469505-2249-4383-9f13-8e4fd1430b0d
a630b543-4a0d-4c56-80ed-251251608b55,32.077200833333336,34.7898645,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800871,12352,0.36363637,5c469505-2249-4383-9f13-8e4fd1430b0d
1e84978c-58ce-4a51-9dfa-b36382f44557,32.06868361666667,34.79350661666667,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800836,6176,0.18181819,5c469505-2249-4383-9f13-8e4fd1430b0d
3d27a17b-4a06-402c-bc9f-7ad2c079dbf7,32.0895729,34.770027166666665,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800907,32038,0.9431818,5c469505-2249-4383-9f13-8e4fd1430b0d
7d1bdb73-4918-4bc3-b4c6-4b77c3b695f0,32.072692866666664,34.767807,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800820,33968,1,5c469505-2249-4383-9f13-8e4fd1430b0d
bae161c1-43c0-4baf-b994-d94cd0a5b457,32.07260383333333,34.7676625,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800815,33968,1,5c469505-2249-4383-9f13-8e4fd1430b0d
2cb9dcc3-e891-4d54-abeb-272470e5ff2c,32.072708133333336,34.76778793333334,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800817,33968,1,5c469505-2249-4383-9f13-8e4fd1430b0d
83cdfed1-8381-4d2a-b33c-996f6b9b8290,32.06558608333333,34.78294753333333,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800833,26248,0.77272725,5c469505-2249-4383-9f13-8e4fd1430b0d
9ec03285-3592-4a86-934f-8329330f0f60,32.10250855,34.81472396666666,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800921,23546,0.6931818,5c469505-2249-4383-9f13-8e4fd1430b0d
40bbd548-8c0b-4301-b3f6-b85ed47ae249,32.063134,34.770116333333334,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800804,16984,0.5,5c469505-2249-4383-9f13-8e4fd1430b0d
e0e9e4cb-bb1a-4360-995a-6e984411baf4,32.06978733333334,34.7707605,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800804,21616,0.6363636,5c469505-2249-4383-9f13-8e4fd1430b0d
e2a55bda-1a4b-4dbe-9f20-8b0fc6f2e95d,32.05378341666667,34.79104233333333,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800777,11966,0.35227272,5c469505-2249-4383-9f13-8e4fd1430b0d
a415a3f3-4234-473c-8ec2-edbbbea0f985,32.06322566666667,34.767012666666666,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800890,22388,0.65909094,5c469505-2249-4383-9f13-8e4fd1430b0d
a4138b6a-a2f9-46fb-a6ba-630a8509384e,32.07088088333333,34.78311538333333,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800759,18528,0.54545456,5c469505-2249-4383-9f13-8e4fd1430b0d
61efb870-2e4b-42c2-be6c-e2f33d628437,32.10325623333333,34.78915023333333,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800753,10808,0.3181818,5c469505-2249-4383-9f13-8e4fd1430b0d
a8f573af-ff3f-41f1-a67e-49bf3a4f2fb6,32.10643386666666,34.78863143333333,false,false,bae2102b-56ba-42ba-9097-720e5990b4b2,1683800911,14668,0.4318182,5c469505-2249-4383-9f13-8e4fd1430b0d
