bike_id,current_range_meters,is_disabled,is_reserved,last_reported,lat,lon,pricing_plan_id,rental_uris/android,rental_uris/ios,vehicle_type_id
0d844fde-aa24-475b-bb1c-89b1e2e0cd07,3600,false,false,1683800132,32.062994,34.770586,311a8d02-1bf0-4f59-9f2e-47dc2865b464,https://go.ridedott.com/vehicles/0d844fde-aa24-475b-bb1c-89b1e2e0cd07?platform=android,https://go.ridedott.com/vehicles/0d844fde-aa24-475b-bb1c-89b1e2e0cd07?platform=ios,dott_scooter
2f7d3a5a-1334-4dab-b0fc-73df0101d01a,2600,false,false,1683800365,32.083145,34.768241,311a8d02-1bf0-4f59-9f2e-47dc2865b464,https://go.ridedott.com/vehicles/2f7d3a5a-1334-4dab-b0fc-73df0101d01a?platform=android,https://go.ridedott.com/vehicles/2f7d3a5a-1334-4dab-b0fc-73df0101d01a?platform=ios,dott_scooter
d889fdae-7475-4263-8899-4843ed9c8a05,2200,false,false,1683800492,32.05777,34.7665,311a8d02-1bf0-4f59-9f2e-47dc2865b464,https://go.ridedott.com/vehicles/d889fdae-7475-4263-8899-4843ed9c8a05?platform=android,https://go.ridedott.com/vehicles/d889fdae-7475-4263-8899-4843ed9c8a05?platform=ios,dott_scooter
6b613aa2-9ea6-4e95-9931-207ed64f89ae,4800,false,false,1683800251,32.071725,34.789314,311a8d02-1bf0-4f59-9f2e-47dc2865b464,https://go.ridedott.com/vehicles/6b613aa2-9ea6-4e95-9931-207ed64f89ae?platform=android,https://go.ridedott.com/vehicles/6b613aa2-9ea6-4e95-9931-207ed64f89ae?platform=ios,dott_scooter
ea2e3a0b-4cce-42b0-b234-1f13ef18d66f,4800,false,false,1683800823,32.055368,34.770122,311a8d02-1bf0-4f59-9f2e-47dc2865b464,https://go.ridedott.com/vehicles/ea2e3a0b-4cce-42b0-b234-1f13ef18d66f?platform=android,https://go.ridedott.com/vehicles/ea2e3a0b-4cce-42b0-b234-1f13ef18d66f?platform=ios,dott_scooter
b74139f7-f0be-4ecd-afa7-a4852b3cc1d5,6200,false,false,1683800767,32.084641,34.78653,311a8d02-1bf0-4f59-9f2e-47dc2865b464,https://go.ridedott.com/vehicles/b74139f7-f0be-4ecd-afa7-a4852b3cc1d5?platform=android,https://go.ridedott.com/vehicles/b74139f7-f0be-4ecd-afa7-a4852b3cc1d5?platform=ios,dott_scooter
848fa2eb-86d4-4db3-a045-8f6f945a8b41,12600,false,false,1683800232,32.063019,34.770236,311a8d02-1bf0-4f59-9f2e-47dc2865b464,https://go.ridedott.com/vehicles/848fa2eb-86d4-4db3-a045-8f6f945a8b41?platform=android,https://go.ridedott.com/vehicles/848fa2eb-86d4-4db3-a045-8f6f945a8b41?platform=ios,dott_scooter
bac199cf-8476-44fc-ac8d-13f0e71f1ffc,8000,false,false,1683799874,32.109815,34.799914,311a8d02-1bf0-4f59-9f2e-47dc2865b464,https://go.ridedott.com/vehicles/bac199cf-8476-44fc-ac8d-13f0e71f1ffc?platform=android,https://go.ridedott.com/vehicles/bac199cf-8476-44fc-ac8d-13f0e71f1ffc?platform=ios,dott_scooter
4c84fd14-aa68-4c8d-bf2e-579fe285d484,2000,false,false,1683800645,32.078866,34.766893,311a8d02-1bf0-4f59-9f2e-47dc2865b464,https://go.ridedott.com/vehicles/4c84fd14-aa68-4c8d-bf2e-579fe285d484?platform=android,https://go.ridedott.com/vehicles/4c84fd14-aa68-4c8d-bf2e-579fe285d484?platform=ios,dott_scooter
ec23494c-174b-49b8-b193-4bbf9402a612,4800,false,false,1683800773,32.075705,34.781983,311a8d02-1bf0-4f59-9f2e-47dc2865b464,https://go.ridedott.com/vehicles/ec23494c-174b-49b8-b193-4bbf9402a612?platform=android,https://go.ridedott.com/vehicles/ec23494c-174b-49b8-b193-4bbf9402a612?platform=ios,dott_scooter
