bike_id,lat,lon,is_reserved,is_disabled,current_range_meters,vehicle_type_id,last_reported,vehicle_type
90b364b6-f9a2-4cea-afe1-7c6cd7da0aca,32.073192,34.920341,false,false,11102,2,1683801163,scooter
64207ef7-908f-4450-a575-c8bfa9cf6932,32.069822,34.918176,false,false,13921,2,1683801163,scooter
93c05a03-fbc4-48ed-b1d3-8db8ca1fc34d,32.07008,34.916229,false,false,9568,3,1683801163,e-bike
a12de763-aeae-48aa-95a0-69ca7922cf42,32.070278,34.91512,false,false,19153,2,1683801163,scooter
4a907763-e698-4eaf-9bab-3bc630cb35d1,32.068482,34.913208,false,false,9568,2,1683801163,scooter
9ee0fc43-a825-4752-bd7e-0e214ca6a58c,32.072973,34.912858,false,false,19996,2,1683801163,scooter
2bc46c6a-1e38-4948-ab7a-ec8821eb0988,32.071051,34.91029,false,false,7518,2,1683801163,scooter
eef05958-7fef-42db-a220-da525cc84cee,32.072528,34.909734,false,false,11328,2,1683801163,scooter
4cec2eb1-5d6b-4836-9414-123d13c6bcc7,32.071874,34.909428,false,false,18600,2,1683801163,scooter
17ce99a2-0f90-4903-bcb1-3b0891f2dcf4,32.068277,34.90851,false,false,9356,2,1683801163,scooter
4a16e961-fe08-4a9c-84fe-38b7c9036a6e,32.071953,34.908058,false,false,5635,2,1683801163,scooter
9c5ba710-bbaa-4aec-b228-4d153a9c06f1,32.079036,34.907254,false,false,11328,2,1683801163,scooter
fa035199-5749-4601-9f8b-aaba197d3f36,32.078837,34.906831,false,false,3596,3,1683801163,e-bike
73d93642-cc64-4021-9355-ce464dbd982a,32.094255,34.906772,false,false,15934,2,1683801163,scooter
ff4212e9-a2b2-4318-a999-5aac6d6aa808,32.068389,34.906646,false,false,3919,2,1683801163,scooter
f1a4a758-3b08-42a5-b569-0f1385ad3b06,32.088644,34.906615,false,false,4586,2,1683801163,scooter
66637b92-bee2-40bc-a6a7-7b622f56f35d,32.093604,34.906546,false,false,13435,2,1683801163,scooter
51c28259-6762-481d-bf27-d772684c050b,32.072681,34.906239,false,false,8116,2,1683801163,scooter
70f0235c-59e2-4c9b-91e8-451058c46873,32.069301,34.906231,false,false,7518,2,1683801163,scooter
1d8117b2-4d5b-4ca1-8d91-bf3eb93dc96f,32.077846,34.906203,false,false,18053,2,1683801163,scooter
06c76227-9522-4d50-9dda-fc7b76be9ba4,32.079283,34.906073,false,false,18326,2,1683801163,scooter
df727e84-45e5-4514-af48-1ad0fa21d812,32.07931,34.90606,false,false,14414,2,1683801163,scooter
aeb4648c-23bd-4f9e-9f85-77c400f74987,32.091526,34.90559,false,false,17246,2,1683801163,scooter
c29797f4-e2e3-466c-be51-1a0120129026,32.085399,34.905584,false,false,4083,3,1683801163,e-bike
03ab781d-56a3-4179-b9cf-bf2fc1673798,32.074089,34.905262,false,false,9998,2,1683801163,scooter
5ba2253a-7716-4832-a076-ef46328aaa01,32.07427,34.905058,false,false,15677,2,1683801163,scooter
ee08307b-f3ad-420e-babe-a8470436bf1b,32.09628,34.905047,false,false,5456,2,1683801163,scooter
f58ee323-92dc-4f35-86c6-46f764f1aeb2,32.092957,34.904377,false,false,14414,2,1683801163,scooter
59b411ac-667d-46d4-b9da-793a1ee23366,32.092252,34.903295,false,false,10655,2,1683801163,scooter
f01012e7-c0ad-4041-9791-3abe62258d26,32.073222,34.903292,false,false,9782,2,1683801163,scooter
acad0a67-f46d-4837-bbf9-4e4c48791d23,32.096684,34.902649,false,false,16980,2,1683801163,scooter
44916ba3-34cb-4ab6-af60-1986700ffb76,32.081718,34.902425,false,false,18600,2,1683801163,scooter
b906f3ec-1872-4de1-8d06-4cf54e337d39,32.079927,34.90234,false,false,15421,2,1683801163,scooter
016a19aa-404e-46d8-8348-8f06d3bd4624,32.071932,34.902331,false,false,6369,2,1683801163,scooter
9c131000-2430-48e8-98e7-e32ce0416479,32.082337,34.902147,false,false,3437,2,1683801163,scooter
51fd9c94-fee1-4f1f-97bd-2fdece1bb56a,32.079875,34.902007,false,false,17246,2,1683801163,scooter
9f48c178-0af8-49ac-98d1-180da1aacdc6,32.079313,34.901915,false,false,19153,2,1683801163,scooter
5e5ec6d0-fd83-4d31-b107-6d2c4b9efcc8,32.096577,34.901854,false,false,15934,2,1683801163,scooter
afe1d8a9-9dd5-48a1-af4b-d3f4e736d97d,32.096928,34.90183,false,false,18876,2,1683801163,scooter
8d9f01e7-67f1-4a6f-8b5a-84e5f6a63530,32.080427,34.9018,false,false,12247,2,1683801163,scooter
ba876b98-e517-4798-8f3a-a8332fd2b0bf,32.102246,34.901488,false,false,11328,2,1683801163,scooter
ba3db55d-74fa-43ce-b251-a0474168e5be,32.093206,34.901369,false,false,7915,2,1683801163,scooter
5845ecd3-23ce-4cb9-b89e-78d79fcb2815,32.090406,34.901259,false,false,10878,2,1683801163,scooter
e72dd446-6c1b-4188-85c4-ca5201bd248f,32.096667,34.900997,false,false,14414,2,1683801163,scooter
83367859-b518-4aaf-ab22-15439c646b64,32.098353,34.900868,false,false,12247,2,1683801163,scooter
02fd1855-2019-4f30-849d-e3de5224ec34,32.079833,34.900532,false,false,4929,2,1683801163,scooter
8febed18-339c-4be8-a5c2-3c347186cce8,32.075724,34.900511,false,false,13921,2,1683801163,scooter
3dfe633f-6ef3-456f-a09a-8a50b483379a,32.071616,34.900353,false,false,18053,2,1683801163,scooter
340ba5da-942e-42d8-b29a-d47e25c63130,32.099789,34.900288,false,false,13435,2,1683801163,scooter
30bc6c7d-509d-4e32-904b-7598a2adc353,32.068872,34.900085,false,false,13677,2,1683801163,scooter
3cf87970-619c-404e-91f8-18e2b7121058,32.073426,34.899932,false,false,15421,2,1683801163,scooter
d1c46f97-4227-419e-b6c1-fafd6877d04a,32.105529,34.899792,false,false,16454,2,1683801163,scooter
95d34676-5e6f-4ba7-979e-346fb9e61bff,32.106313,34.899764,false,false,6936,2,1683801163,scooter
50ae7b72-21ac-481e-8d97-a6f81be45a2c,32.099378,34.89958,false,false,8318,2,1683801163,scooter
93449af4-bc38-45e3-b387-6d7ef7f92c51,32.098388,34.899563,false,false,10215,2,1683801163,scooter
4497db2a-ce10-4304-a1b8-f04ac6fb96a3,32.069679,34.899551,false,false,12482,2,1683801163,scooter
ff234a86-73ee-4e74-89a9-336f0db9264b,32.070754,34.899507,false,false,4416,2,1683801163,scooter
1fa24d74-00e5-45a3-88d7-f9360273b4cb,32.068039,34.899491,false,false,15677,2,1683801163,scooter
3cb164a5-9b6b-425d-ac7e-47e44146e007,32.095409,34.899209,false,false,18876,2,1683801163,scooter
0008c01f-9ce0-4e7b-86a4-3298a91b1cc4,32.099266,34.89902,false,false,6936,2,1683801163,scooter
5878fd99-2540-4776-ad7a-3cf7598c9251,32.071189,34.898722,false,false,16716,2,1683801163,scooter
0c35bd7d-bf29-4ab8-a9ed-fcb00c4200bf,32.068826,34.898556,false,false,4929,3,1683801163,e-bike
a45ead5e-f98a-47ab-8fba-07d5e744619e,32.068829,34.89851,false,false,13194,3,1683801163,e-bike
36db6ef7-4500-4bf6-a98d-d1b6e767bc93,32.072587,34.898416,false,false,16716,2,1683801163,scooter
5f92288b-f91b-45f0-a0cf-ee35faee15cd,32.069353,34.89838,false,false,3596,3,1683801163,e-bike
9d11927a-4ea2-4801-b26c-587eeddff60b,32.098576,34.898351,false,false,9145,2,1683801163,scooter
ca98c29f-c3bf-4d6e-9835-5352fe350fcd,32.098666,34.898333,false,false,11784,2,1683801163,scooter
692acd75-6f06-4367-9af6-251467f9d5b0,32.102092,34.898138,false,false,16716,2,1683801163,scooter
07c6c9ad-b03b-4eb6-87ab-a061d39fd3e2,32.085836,34.898081,false,false,8936,3,1683801163,e-bike
271528bd-1169-4c31-bb35-11f59d33c6d1,32.106373,34.897859,false,false,4416,3,1683801163,e-bike
f345bf64-5ba7-466d-bca7-0255d628f26e,32.093673,34.8977,false,false,16454,3,1683801163,e-bike
26e6d56d-a80d-4623-9c80-6b129a7c3b4b,32.101278,34.897441,false,false,4756,2,1683801163,scooter
9829d3ca-8a97-4363-bdda-792d4b84b436,32.076527,34.897303,false,false,12717,2,1683801163,scooter
21805c0b-0350-4d4f-85be-7ea9cb55bdb0,32.085781,34.896996,false,false,13677,2,1683801163,scooter
1427dc11-e404-4010-932e-f9adee460a10,32.104483,34.896669,false,false,5816,2,1683801163,scooter
76abece4-57f2-4e19-a43f-f3e8d405d751,32.096881,34.896431,false,false,10434,3,1683801163,e-bike
