hexbin,value
881f18d69bfffff,2
881f18c6ebfffff,9
881f18c6cbfffff,310
881f18c659fffff,2
881f1c226dfffff,4
881f1c2261fffff,17
881f1c2255fffff,4
881f1c2245fffff,8
881f1c2223fffff,1
881f1c2221fffff,232
881f1c2201fffff,13
881f1c21edfffff,6
881f1c214dfffff,4
881f1c2027fffff,101
881f1c2021fffff,4
881f189ae7fffff,274
881f189ae5fffff,80
881f189ae1fffff,118
881f189a8dfffff,90
881f189a5bfffff,2
881f189a51fffff,27
881f189a3bfffff,37
881f189a31fffff,3
881f1899ddfffff,134
881f1899d1fffff,17
881f1899cdfffff,49
881f1899bbfffff,107
881f1899b9fffff,1
881f1899b7fffff,13
881f1899adfffff,24
881f1899a3fffff,185
881f1899a1fffff,19
881f18999bfffff,32
881f1898edfffff,247
881f1898e9fffff,34
881f1898e5fffff,8
881f18988dfffff,218
881f189885fffff,269
881f189857fffff,167
881f189855fffff,1
881f189851fffff,40
881f189835fffff,1
881f18981bfffff,52
881f18935dfffff,53
881f189347fffff,16
881f18932dfffff,26
881f189329fffff,32
881f18930dfffff,4
881f189141fffff,2
881f18910dfffff,5
881f189107fffff,1
881f189367fffff,2
881f189363fffff,2
881f18c68dfffff,173
881f18c607fffff,23
881f188b49fffff,3
881f188b25fffff,16
881f18d4dbfffff,2
881f189227fffff,395
881f19d043fffff,17
881f19d03bfffff,137
881f19d039fffff,52
881f19d037fffff,182
881f19d031fffff,28
881f19d029fffff,510
881f19d023fffff,7
881f19d01bfffff,807
881f19d019fffff,833
881f19d017fffff,508
881f19d015fffff,708
881f19d00bfffff,1015
881f19d009fffff,190
881f19d007fffff,21
881f19d005fffff,214
881f19d05bfffff,1104
881f19d055fffff,1421
881f19d053fffff,1122
881f19d04bfffff,11
881f1d68bbfffff,86
881f1d6d39fffff,5
881f19d285fffff,8
881f19d25bfffff,131
881f19d23bfffff,1407
881f19d231fffff,174
881f19d1d9fffff,2
881f19c367fffff,19
881f19c34dfffff,11
881f19c34bfffff,85
881f19c349fffff,42
881f19c341fffff,53
881f19c333fffff,281
881f19c323fffff,86
881f19c26dfffff,37
881f19c26bfffff,3
881f19c225fffff,5
881f19c167fffff,117
881f19c159fffff,120
881f19c155fffff,176
881f19c151fffff,38
881f19c149fffff,270
881f19c143fffff,23
881f19c12dfffff,16
881f19c127fffff,54
881f19c125fffff,3
881f19c10bfffff,12
881f19dabbfffff,43
881f19d8ddfffff,46
881f19d8d7fffff,3
881f19d8b5fffff,25
881f19d89dfffff,14
881f19d899fffff,4
881f19d895fffff,28
881f19d883fffff,101
881f19d1ebfffff,100
881f19d1e9fffff,21
881f19d1e3fffff,187
881f19d1e1fffff,92
881f19d1d5fffff,23
881f19d1c5fffff,18
881f19d1bdfffff,140
881f19d1bbfffff,18
881f19d1b5fffff,155
881f19d1adfffff,40
881f19d1a7fffff,8
881f19d195fffff,19
881f19d18dfffff,176
881f19d189fffff,528
881f19d181fffff,350
881f18b86dfffff,1953
881f18b867fffff,126
881f18b861fffff,1234
881f18b85dfffff,576
881f18b855fffff,390
881f18b851fffff,356
881f18b84dfffff,416
881f18b84bfffff,450
881f18b845fffff,372
881f18b843fffff,306
881f18b841fffff,302
881f18b827fffff,42
881f18b825fffff,362
881f18b821fffff,147
881f18b81dfffff,16
881f18b80dfffff,44
881f18b80bfffff,2
881f18b805fffff,283
881f188593fffff,72
881f18b165fffff,149
881f18b155fffff,636
881f18b13dfffff,17
881f18b131fffff,9
881f18b12dfffff,157
881f18b12bfffff,18
881f18b127fffff,463
881f18bb57fffff,518
881f18bb51fffff,153
881f18bb3bfffff,429
881f18bb33fffff,97
881f18bb19fffff,216
881f18bb13fffff,788
881f18baebfffff,15
881f18bac5fffff,48
881f18ba5dfffff,15
881f18ba59fffff,190
881f18ba57fffff,504
881f18ba51fffff,178
881f18ba49fffff,552
881f18ba3dfffff,67
881f18ba37fffff,107
881f18ba2dfffff,201
881f18ba27fffff,481
881f18ba25fffff,270
881f18ba23fffff,165
881f18ba09fffff,128
881f18ba07fffff,75
881f18ba05fffff,215
881f18ba01fffff,10
881f18b9e1fffff,265
881f18b9dbfffff,260
881f18b9c9fffff,272
881f18b9c1fffff,37
881f18b9bbfffff,36
881f18b9b3fffff,427
881f18b9abfffff,402
881f18b9a9fffff,155
881f18b9a1fffff,167
881f18b99dfffff,187
881f18b99bfffff,8
881f18b98bfffff,73
881f18b985fffff,8
881f18b953fffff,30
881f18b939fffff,284
881f18b923fffff,20
881f18b915fffff,301
881f18b911fffff,33
881f18b907fffff,123
881f18b8e5fffff,667
881f18b8e3fffff,14
881f18b8c9fffff,112
881f18aa65fffff,11
881f1816c9fffff,104
881f1816c3fffff,39
881f1d4341fffff,965
881f1d433bfffff,114
881f1d40abfffff,1196
881f1d5ae9fffff,1262
881f1d5ae5fffff,682
881f1d5ae3fffff,798
881f1d5ae1fffff,1086
881f1d5ad5fffff,318
881f1d5ad3fffff,361
881f1d5ac1fffff,89
881f1d5abdfffff,219
881f1d5abbfffff,963
881f1d5ab9fffff,9
881f1d5ab7fffff,18
881f1d5ab3fffff,103
881f1d5aadfffff,4
881f1d5aa1fffff,191
881f1d5a9dfffff,3
881f1d5a99fffff,31
881f1d5a97fffff,428
881f1d5a91fffff,439
881f1d5a89fffff,2
881f1d5a87fffff,2
881f1d5a3bfffff,516
881f1d5a37fffff,381
881f1d5a31fffff,74
881f1d5a1dfffff,84
881f1d5a17fffff,1173
881f1d5a11fffff,158
881f1d58ebfffff,986
881f1d58e5fffff,1742
881f1d58e3fffff,447
881f1d58ddfffff,10
881f1d58d9fffff,389
881f1d58d7fffff,63
881f1d58d5fffff,60
881f1d58d1fffff,684
881f1d58c9fffff,862
881f1d58c5fffff,1424
881f1d58c1fffff,313
881f1d58bbfffff,1257
881f1d58abfffff,2309
881f1d58a9fffff,1830
881f1d588dfffff,9
881f1d588bfffff,129
881f1d5887fffff,418
881f1d5885fffff,991
881f1d585bfffff,215
881f1d5859fffff,413
881f1d5855fffff,283
881f1d583dfffff,2
881f1d583bfffff,8
881f1d5839fffff,19
881f1d581bfffff,1337
881f1d5817fffff,2244
881f1d5807fffff,8
881f1d4337fffff,195
881f1d432dfffff,1173
881f1d432bfffff,157
881f1d4329fffff,963
881f1d4327fffff,38
881f1d4313fffff,57
881f1d4309fffff,69
881f1d4303fffff,1023
881f1d40a7fffff,430
881f1d406bfffff,370
881f1d4069fffff,21
881f1d4059fffff,17
881f1d4057fffff,22
881f1d404dfffff,26
881f1d4049fffff,380
881f1d4047fffff,173
881f1d4041fffff,154
881f1d42e9fffff,337
881f1d4039fffff,8
881f1d4035fffff,794
881f1d4033fffff,118
881f1d402dfffff,1048
881f1d4029fffff,522
881f1d42e1fffff,148
881f1d42bdfffff,64
881f1d42adfffff,441
881f1d428dfffff,88
881f1d4235fffff,18
881f1d401dfffff,48
881f1d401bfffff,178
881f1d4019fffff,40
881f1d4015fffff,334
881f1d436dfffff,1195
881f1d4233fffff,4
881f1d4223fffff,122
881f1d41dbfffff,271
881f1d41d5fffff,533
881f1d41d1fffff,411
881f1d41cdfffff,1243
881f1d41c9fffff,75
881f1d41c3fffff,28
881f1d4369fffff,1553
881f1d4345fffff,712
881f1d4169fffff,1452
881f1d4161fffff,1714
881f1d415bfffff,126
881f1d4159fffff,189
881f1d4157fffff,872
881f1d4155fffff,437
881f1d4153fffff,287
881f1d4141fffff,2284
881f1d410dfffff,2606
881f1d4109fffff,2099
881f1d4103fffff,465
881f1d4101fffff,1436
881f1d40e9fffff,334
881f1d40e1fffff,49
881f1d40cbfffff,10
881f1d51b5fffff,154
881f1d51adfffff,786
881f1d51a5fffff,399
881f1d51a3fffff,561
881f1d51a1fffff,1371
881f1d19bdfffff,91
881f1d19b7fffff,139
881f1d19b5fffff,62
881f1d19abfffff,25
881f1d19a9fffff,3
881f1d19a5fffff,33
881f1d19a3fffff,29
881f1d1987fffff,25
881f1d1983fffff,70
881f1d1925fffff,357
881f1d56e9fffff,7
881f1d56d1fffff,307
881f1d56c7fffff,21
881f1d569bfffff,11
881f1d5699fffff,5
881f1d566dfffff,40
881f1d5669fffff,15
881f1d565dfffff,3
881f1d5657fffff,98
881f1d5655fffff,63
881f1d561bfffff,185
881f1d5619fffff,319
881f1d5613fffff,60
881f1dcdd5fffff,101
881f1dcdc1fffff,89
881f1dcdbbfffff,61
881f1dcd97fffff,6
881f1dcd95fffff,25
881f1dcd93fffff,5
881f1dcd91fffff,4
881f1dcd89fffff,142
881f1dcd87fffff,8
881f1dcd83fffff,6
881f1dcd81fffff,13
881f1dcd39fffff,16
881f1dcd35fffff,12
881f1dcd31fffff,16
881f1dcd15fffff,13
881f1dcd07fffff,57
881f1d736bfffff,8
881f1d7367fffff,63
881f1d7363fffff,14
881f1d7351fffff,3
881f1d7337fffff,17
881f1d7335fffff,3
881f1d7329fffff,138
881f1d731dfffff,11
881f1d730bfffff,39
881f1d7307fffff,25
881f1d72ebfffff,29
881f1d72d9fffff,14
881f1d72d5fffff,2
881f1d72cbfffff,59
881f1d72c5fffff,65
881f1d19b3fffff,614
881f1d72a5fffff,3
881f1d726dfffff,1
881f1d726bfffff,56
881f1d7269fffff,17
881f1d7261fffff,177
881f1d725bfffff,5
881f1d7259fffff,144
881f1d7255fffff,254
881f1d7243fffff,43
881f1d7223fffff,39
881f1d7221fffff,14
881f1d7213fffff,7
881f1d7209fffff,69
881f1d71a7fffff,3
881f1d7167fffff,11
881f1d7165fffff,1
881f1d7161fffff,1
881f1d714dfffff,14
881f1d7131fffff,2
881f1d7121fffff,3
881f1d7115fffff,32
881f1d70edfffff,16
881f1d70c3fffff,19
881f1d70abfffff,3
881f1d7085fffff,5
881f1d7043fffff,141
881f1d7029fffff,20
881f1d7005fffff,37
881f1d46c3fffff,2
881f1d7ae9fffff,8
881f1d7ae3fffff,49
881f1d7addfffff,7
881f1d7adbfffff,7
881f1d7ad3fffff,2
881f1d7a9dfffff,336
881f1d7a97fffff,16
881f1d7a93fffff,204
881f1d7a91fffff,8
881f1d7a83fffff,69
881f1d7a6bfffff,53
881f1d7a67fffff,9
881f1d7a65fffff,2
881f1d7a59fffff,6
881f1d469dfffff,45
881f1d4697fffff,8
881f1d4685fffff,5
881f1d4681fffff,9
881f1d45d7fffff,28
881f1d45b9fffff,141
881f1d45b3fffff,1
881f1d6357fffff,2
881f1d6355fffff,13
881f1d6353fffff,18
881f1d7a49fffff,371
881f1d7a45fffff,197
881f1d7a43fffff,321
881f1d7a3dfffff,198
881f1d7a2bfffff,470
881f1d7a0dfffff,84
881f1d7a0bfffff,121
