bike_id,lat,lon,is_reserved,is_disabled,rental_uris/android,rental_uris/ios,vehicle_type_id,current_range_meters,last_reported
5a8e9acc-c2f1-4a06-9a1d-d9038cd98767,41.931592,-87.648355,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=5a8e9acc-c2f1-4a06-9a1d-d9038cd98767,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=5a8e9acc-c2f1-4a06-9a1d-d9038cd98767,1,4800,1694535731
d23c140d-de9f-41d8-8f1a-9890270b89a6,41.781847,-87.717893,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=d23c140d-de9f-41d8-8f1a-9890270b89a6,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=d23c140d-de9f-41d8-8f1a-9890270b89a6,1,15360,1694535776
1173764c-c0fa-44f4-bf00-86489580aa88,41.961218,-87.652393,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=1173764c-c0fa-44f4-bf00-86489580aa88,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=1173764c-c0fa-44f4-bf00-86489580aa88,1,14160,1694535753
79d9cd13-ef18-4d3b-91f1-1259f7788f50,41.880527,-87.755447,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=79d9cd13-ef18-4d3b-91f1-1259f7788f50,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=79d9cd13-ef18-4d3b-91f1-1259f7788f50,1,15120,1694535768
bb401877-0836-42eb-b4c3-c05ad70139f5,41.802413,-87.716208,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=bb401877-0836-42eb-b4c3-c05ad70139f5,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=bb401877-0836-42eb-b4c3-c05ad70139f5,1,6000,1694535746
74748b7d-6457-4d32-bb34-6d85e367319f,41.935618,-87.644092,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=74748b7d-6457-4d32-bb34-6d85e367319f,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=74748b7d-6457-4d32-bb34-6d85e367319f,1,17520,1694535780
7d0aa184-3438-4ac0-ab38-09c6322f0045,41.778473,-87.61271,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=7d0aa184-3438-4ac0-ab38-09c6322f0045,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=7d0aa184-3438-4ac0-ab38-09c6322f0045,1,6960,1694535762
841bab1c-b642-42a6-8c9b-8574602474e3,41.935805,-87.647547,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=841bab1c-b642-42a6-8c9b-8574602474e3,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=841bab1c-b642-42a6-8c9b-8574602474e3,1,12240,1694535778
1c0bb3aa-1bb9-4eff-a676-9b9a786789e1,41.88217,-87.72661,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=1c0bb3aa-1bb9-4eff-a676-9b9a786789e1,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=1c0bb3aa-1bb9-4eff-a676-9b9a786789e1,1,10320,1694535776
5f5c818d-64ca-4823-a2c1-1452df8a5a0d,41.94122,-87.641502,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=5f5c818d-64ca-4823-a2c1-1452df8a5a0d,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=5f5c818d-64ca-4823-a2c1-1452df8a5a0d,1,8160,1694535727
970f7aab-0143-454d-aeec-eddb0d3ea57e,41.808033,-87.703133,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=970f7aab-0143-454d-aeec-eddb0d3ea57e,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=970f7aab-0143-454d-aeec-eddb0d3ea57e,1,10320,1694535765
fa52d0da-d075-417e-a98b-a156cdb806a2,41.713867,-87.616465,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=fa52d0da-d075-417e-a98b-a156cdb806a2,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=fa52d0da-d075-417e-a98b-a156cdb806a2,1,14880,1694535798
5b59168a-3ba8-4027-a7a3-a8b83d80b752,41.906407,-87.648277,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=5b59168a-3ba8-4027-a7a3-a8b83d80b752,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=5b59168a-3ba8-4027-a7a3-a8b83d80b752,1,18480,1694535765
c17442ab-7652-4f7e-b3d7-7b1e8a6e619c,41.925227,-87.701193,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=c17442ab-7652-4f7e-b3d7-7b1e8a6e619c,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=c17442ab-7652-4f7e-b3d7-7b1e8a6e619c,1,21120,1694535779
d0188c8d-015f-4110-8d31-bfe2c03ebdd1,41.911995,-87.634855,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=d0188c8d-015f-4110-8d31-bfe2c03ebdd1,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=d0188c8d-015f-4110-8d31-bfe2c03ebdd1,1,13680,1694535722
